user_reported_location_gis,n_gis,longitude_gis,latitude_gis,time_gis
"Hermosillo, Son.",470,-110.9559192,29.0729673,2011
Veracruz,15,-96.1342241,19.173773,2011
"Hermosillo, Son.",3,-110.9559192,29.0729673,2012
Veracruz,220,-96.1342241,19.173773,2012
Veracruz,590,-96.1342241,19.173773,2014
Cancun,21,-86.8515279,21.161908,2016
Ciudad Juarez,47,-106.4245478,31.6903638,2016
Ciudadano del mundo,1,NA,NA,2016
"Mexico, MD",44,-76.94416,39.60183,2016
Nuevo León,39,-99.9961947,25.592172,2016
"Tabasco, México",4,-92.6189273,17.8409173,2016
Tampico,42,-97.861099,22.2331041,2016
"Tapachula, Chiapas.",3,-92.2634136,14.9055567,2016
Tlaquepaque,3,-103.3212248,20.6243088,2016
Todo el territorio,21,NA,NA,2016
zacatecas,47,-102.5832539,22.7709249,2016
NA,112,-86.8515279,21.161908,2016
Ciudad de México,41,-99.133208,19.4326077,2019
Ciudadano del mundo,11,NA,NA,2019
"Durango, México",2,-104.6587821,24.5592665,2019
Estoy en todas partes,47,NA,NA,2019
Mazatlan,17,-106.4111425,23.2494148,2019
Mexico,29,-102.552784,23.634501,2019
Monterrey,6,-100.3161126,25.6866142,2019
"Monterrey, Nuevo León",1,-100.3161126,25.6866142,2019
"Tabasco, México",23,-92.6189273,17.8409173,2019
Tampico,1,-97.861099,22.2331041,2019
"Tapachula, Chiapas.",1,-92.2634136,14.9055567,2019
"Tijuana, Baja California",8,-117.0382471,32.5149469,2019
Tlaquepaque,4,-103.3212248,20.6243088,2019
Todo el territorio,1,NA,NA,2019
Veracruz,5,-96.1342241,19.173773,2019
Veracruz de Ignacio de la Llav,16,-96.5783387,19.2601605,2019
Xochimilco México,22,-99.1029664,19.2572314,2019
NA,1995,-99.133208,19.4326077,2019
"Baja California Sur, México",77,-111.6660725,26.0444446,2020
Cancun,7,-86.8515279,21.161908,2020
"Chihuahua, México",72,-106.0691004,28.6329957,2020
Ciudad de las montañas,18,-100.3161126,25.6866142,2020
Ciudad de México,705,-99.133208,19.4326077,2020
Ciudad Juarez,17,-106.4245478,31.6903638,2020
Ciudadano del mundo,23,NA,NA,2020
"Coahuila de Zaragoza, México",29,-101.7068294,27.058676,2020
"Culiacan, Sinaloa",39,-107.3940117,24.8090649,2020
"Culiacán, Sinaloa",38,-107.3940117,24.8090649,2020
"Durango, México",122,-104.6587821,24.5592665,2020
Estoy en todas partes,183,NA,NA,2020
"Guasave, Sinaloa",49,-108.4673051,25.5666987,2020
"Hermosillo, Son.",75,-110.9559192,29.0729673,2020
"Hermosillo, Sonora",9,-110.9559192,29.0729673,2020
"Hermosillo, Tierra caliente",35,-110.9559192,29.0729673,2020
Mazatlan,55,-106.4111425,23.2494148,2020
Mazatlán,111,-106.4111425,23.2494148,2020
Mexico,97,-102.552784,23.634501,2020
"Mexico, MD",2,-76.94416,39.60183,2020
Monclova,25,-101.4215236,26.9080378,2020
Monterrey,188,-100.3161126,25.6866142,2020
"Monterrey, Nuevo León",108,-100.3161126,25.6866142,2020
Nuevo León,20,-99.9961947,25.592172,2020
Puebla,7,-98.2062727,19.0414398,2020
Saltillo,21,-100.973678,25.4383234,2020
San Nicolás de los Garza,17,-100.2868973,25.7493469,2020
Sinaloa,23,-108.2216704,25.8226854,2020
"Sinaloa, México",29,-108.2216704,25.8226854,2020
"Tabasco, México",31,-92.6189273,17.8409173,2020
"Tamaulipas, México",25,-98.8362755,24.26694,2020
Tampico,9,-97.861099,22.2331041,2020
"Tapachula, Chiapas.",35,-92.2634136,14.9055567,2020
"Tijuana, Baja California",102,-117.0382471,32.5149469,2020
Tlaquepaque,29,-103.3212248,20.6243088,2020
Todo el territorio,2,NA,NA,2020
Veracruz,186,-96.1342241,19.173773,2020
Veracruz de Ignacio de la Llav,8,-96.5783387,19.2601605,2020
Xochimilco México,25,-99.1029664,19.2572314,2020
zacatecas,27,-102.5832539,22.7709249,2020
NA,6929,-111.6660725,26.0444446,2020
Ciudad de las montañas,12,-100.3161126,25.6866142,2021
Ciudad de México,4709,-99.133208,19.4326077,2021
"Culiacan, Sinaloa",2,-107.3940117,24.8090649,2021
Estoy en todas partes,65,NA,NA,2021
"Guasave, Sinaloa",17,-108.4673051,25.5666987,2021
Puebla,22,-98.2062727,19.0414398,2021
Saltillo,24,-100.973678,25.4383234,2021
Veracruz,44,-96.1342241,19.173773,2021
NA,861,-100.3161126,25.6866142,2021
